old_tapPos,new_tapPos,sTime,eTime,stayTime,ElePower,ampereA1,ampereB1,ampereC1,ampereA2,ampereB2,ampereC2,voltageA1,voltageB1,voltageC1,voltageA2,voltageB2,voltageC2,pfA,pfB,pfC,epiA,epiB,epiC,trTemp
11,10,2018-11-01 00:00:00,2018-11-01 01:03:35,3815,12110.0,507.0,510.0,524.0,78206.0,78599.0,80796.0,22603.0,22597.0,22740.0,62.0,62.0,65.0,947.0,913.0,945.0,577.0,400.0,535.0,80.3
10,1,2018-11-01 01:03:36,2018-11-01 01:13:37,601,11709.0,460.0,470.0,516.0,68524.0,70146.0,76970.0,22712.0,22632.0,22872.0,57.0,67.0,60.0,897.0,887.0,962.0,398.0,207.0,446.0,79.8
1,10,2018-11-01 01:13:38,2018-11-01 01:23:39,601,6104.0,213.0,222.0,239.0,24380.5,25463.5,27282.5,23353.0,23359.0,23461.0,45.0,48.0,41.0,848.0,895.0,935.0,396.0,520.0,446.0,69.7
10,9,2018-11-01 01:23:40,2018-11-01 02:06:12,2552,12450.0,440.0,467.0,505.0,65555.0,69594.0,75247.0,22749.0,22671.0,22977.0,61.0,71.0,58.0,830.0,871.0,943.0,332.0,176.0,420.0,75.0
9,10,2018-11-01 02:06:13,2018-11-01 03:04:06,3473,8726.5,528.0,525.0,527.0,76064.0,75582.0,75959.0,22410.0,22415.0,22533.0,51.0,44.0,51.0,999.0,988.0,993.0,356.0,253.0,436.0,76.6
10,11,2018-11-01 03:04:07,2018-11-01 03:19:05,898,10203.0,498.0,509.0,530.0,74141.0,75831.0,78982.0,22415.0,22445.0,22615.0,55.0,56.0,57.0,977.0,952.0,986.0,589.0,446.0,635.0,79.4
11,12,2018-11-01 03:19:06,2018-11-01 05:44:25,8719,11369.5,498.0,521.0,529.0,76733.0,80300.0,81547.0,22569.0,22567.0,22667.0,61.0,62.0,60.0,952.0,942.0,969.0,621.0,521.0,724.0,79.3
12,11,2018-11-01 05:44:26,2018-11-01 05:54:27,601,12387.0,514.0,532.0,539.0,82095.0,85058.0,86040.0,22604.0,22660.0,22603.0,65.0,64.0,67.0,943.0,922.0,953.0,659.0,520.0,802.0,78.7
11,10,2018-11-01 05:54:28,2018-11-01 06:05:33,665,11193.0,511.0,527.0,534.0,78728.0,81195.0,82329.0,22569.5,22610.0,22571.0,60.0,59.0,62.0,967.5,942.0,975.0,619.0,483.0,787.0,78.7
10,11,2018-11-01 06:05:34,2018-11-01 06:15:44,610,10468.0,478.0,510.0,515.0,71054.0,75970.0,76696.0,22824.0,22863.0,22815.0,58.0,58.0,59.0,960.0,954.0,984.0,568.0,444.0,766.0,78.7
11,10,2018-11-01 06:15:45,2018-11-01 06:25:46,601,11726.0,487.0,524.0,524.0,75101.0,80786.0,80745.0,22683.0,22725.0,22712.0,63.0,64.0,60.0,932.0,939.0,964.0,535.0,454.0,749.0,78.7
10,9,2018-11-01 06:25:47,2018-11-01 08:07:20,6093,11819.0,492.0,505.0,511.0,73324.0,75223.5,76132.5,22577.0,22549.0,22649.0,58.0,59.0,59.0,932.0,912.0,946.0,248.0,229.0,490.0,77.6
