old_tapPos,new_tapPos,sTime,eTime,stayTime,TelePower,ElePower,ampereA1,ampereB1,ampereC1,ampereA2,ampereB2,ampereC2,voltageA1,voltageB1,voltageC1,voltageA2,voltageB2,voltageC2,pfA,pfB,pfC,epiA,epiB,epiC,trTemp
11,10,2018-11-01 00:00:00,2018-11-01 01:03:35,3815,,12110.0,507.0,510.0,524.0,78206.0,78599.0,80796.0,22603.0,22597.0,22740.0,62.0,62.0,65.0,947.0,913.0,945.0,577.0,400.0,535.0,80.3
10,9,2018-11-01 01:03:36,2018-11-01 01:04:05,29,,11709.0,460.0,470.0,516.0,68524.0,70146.0,76970.0,22712.0,22632.0,22872.0,57.0,67.0,60.0,897.0,887.0,962.0,398.0,207.0,446.0,79.8
9,8,2018-11-01 01:04:06,2018-11-01 01:04:14,8,,11217.0,405.0,397.0,469.0,58748.0,56786.0,67085.0,22883.0,22743.0,22993.0,55.0,71.0,62.0,853.0,841.0,958.0,398.0,243.0,446.0,79.8
8,7,2018-11-01 01:04:15,2018-11-01 01:04:33,18,,10512.0,382.0,359.0,433.0,53389.0,50435.0,60305.0,22910.0,22763.0,23025.0,52.0,69.0,61.0,857.0,827.0,957.0,397.0,270.0,446.0,79.8
7,6,2018-11-01 01:04:34,2018-11-01 01:04:43,9,,9842.0,356.0,328.0,403.0,48071.0,44587.0,54144.0,22958.0,22818.0,23089.0,50.0,68.0,59.0,848.0,816.0,960.0,397.0,281.0,446.0,79.8
6,5,2018-11-01 01:04:44,2018-11-01 01:04:54,10,,9115.0,331.0,310.5,374.0,43517.0,40853.0,49256.0,22980.0,22876.0,23120.0,48.0,64.0,57.0,861.0,822.0,959.0,397.0,281.0,446.0,79.8
5,3,2018-11-01 01:04:55,2018-11-01 01:05:27,32,,8478.0,305.5,294.0,352.0,38933.0,37512.0,44889.0,23070.0,22991.0,23223.0,46.0,62.0,52.0,844.5,839.0,966.0,397.0,296.5,446.0,79.8
3,2,2018-11-01 01:05:28,2018-11-01 01:05:42,14,,7109.0,253.0,246.0,295.0,30346.0,29526.0,35478.0,22981.0,22929.0,23157.0,43.0,59.0,47.0,825.0,841.0,969.0,396.0,315.0,446.0,79.8
2,1,2018-11-01 01:05:43,2018-11-01 01:06:01,18,,6595.0,235.0,234.0,272.0,27548.0,27313.0,31865.0,23160.0,23120.5,23336.0,42.0,55.0,45.0,840.0,857.0,965.0,396.0,315.0,446.0,79.3
1,2,2018-11-01 01:06:02,2018-11-01 01:20:34,872,,5979.0,216.0,225.0,241.0,24732.0,25710.0,27620.0,23213.0,23202.0,23365.0,45.0,47.0,40.0,862.0,896.0,937.0,396.0,520.0,446.0,72.4
2,3,2018-11-01 01:20:35,2018-11-01 01:20:44,9,,6654.0,230.0,265.0,259.0,26798.0,30728.0,30831.0,23231.0,23239.0,23394.0,50.0,51.0,40.0,831.0,928.0,928.0,396.0,485.0,446.0,68.2
3,4,2018-11-01 01:20:45,2018-11-01 01:21:03,18,,7171.0,257.0,302.0,280.0,30937.0,36434.0,33835.0,23128.0,23214.0,23314.0,56.0,48.0,41.0,871.0,958.0,893.0,392.0,460.0,446.0,68.2
4,5,2018-11-01 01:21:04,2018-11-01 01:21:26,22,,7873.0,281.0,314.5,315.5,34640.0,39094.0,39071.0,23085.5,23111.5,23257.5,54.0,53.0,44.0,857.0,930.0,926.0,375.0,460.0,446.0,67.7
5,6,2018-11-01 01:21:27,2018-11-01 01:22:04,37,,8641.0,297.0,317.0,346.0,37800.0,40388.0,44096.0,23079.0,23066.0,23254.0,53.0,62.0,48.0,814.0,887.0,947.0,375.0,460.0,446.0,67.7
6,7,2018-11-01 01:22:05,2018-11-01 01:22:24,19,,9395.0,338.0,337.0,373.0,44470.0,44252.0,49326.0,23115.0,23045.0,23233.0,52.0,62.0,54.0,859.0,860.0,940.0,363.0,435.0,446.0,67.6
7,8,2018-11-01 01:22:25,2018-11-01 01:22:38,13,,10189.0,374.0,356.0,386.0,50455.0,47926.0,51970.0,23077.0,23028.0,23149.0,55.0,60.0,62.0,891.0,831.0,907.0,364.0,426.0,446.0,67.6
8,9,2018-11-01 01:22:39,2018-11-01 01:22:51,12,,10814.0,395.0,370.0,383.0,55112.0,51669.0,53658.0,23043.0,22946.0,23045.0,59.0,59.0,67.0,911.0,811.0,878.0,364.0,418.0,443.0,67.6
9,10,2018-11-01 01:22:52,2018-11-01 01:23:08,16,,11302.0,420.0,450.0,451.0,60076.0,64227.0,64679.0,22786.0,22807.0,22940.0,62.0,63.0,59.0,881.0,910.0,932.0,365.0,403.0,418.0,67.6
10,9,2018-11-01 01:23:09,2018-11-01 02:06:12,2583,,12445.0,440.0,467.0,506.0,65604.0,69636.0,75270.0,22746.5,22672.0,22975.0,61.0,71.0,58.0,830.0,871.0,943.0,332.0,176.0,420.0,75.0
9,10,2018-11-01 02:06:13,2018-11-01 03:04:06,3473,,8726.5,528.0,525.0,527.0,76064.0,75582.0,75959.0,22410.0,22415.0,22533.0,51.0,44.0,51.0,999.0,988.0,993.0,356.0,253.0,436.0,76.6
10,11,2018-11-01 03:04:07,2018-11-01 03:10:37,390,,9978.0,523.0,525.0,539.0,77911.0,78215.0,80337.5,22396.0,22394.0,22569.0,54.0,53.0,56.0,988.0,963.0,987.0,482.0,379.0,560.0,79.2
11,10,2018-11-01 03:10:38,2018-11-01 03:12:24,106,,11364.0,519.0,516.0,550.0,80075.0,79539.5,84799.0,22507.0,22490.0,22678.0,57.0,62.0,62.0,963.0,927.0,978.0,569.0,457.0,635.0,79.3
10,11,2018-11-01 03:12:25,2018-11-01 03:19:05,400,,10275.0,494.0,503.0,525.0,73586.5,74941.0,78321.0,22445.0,22486.0,22646.0,55.0,57.0,57.0,974.0,947.0,986.0,594.0,446.0,635.0,79.8
11,12,2018-11-01 03:19:06,2018-11-01 05:44:25,8719,,11369.5,498.0,521.0,529.0,76733.0,80300.0,81547.0,22569.0,22567.0,22667.0,61.0,62.0,60.0,952.0,942.0,969.0,621.0,521.0,724.0,79.3
12,11,2018-11-01 05:44:26,2018-11-01 05:54:12,586,,12387.0,514.0,532.0,539.0,82095.0,85058.0,86040.0,22604.0,22660.0,22603.0,65.0,64.0,67.0,943.0,922.0,953.0,659.0,520.0,802.0,78.7
11,10,2018-11-01 05:54:13,2018-11-01 06:05:33,680,,11205.0,511.0,527.0,534.0,78723.0,81206.0,82305.0,22570.0,22610.0,22573.0,60.0,59.0,62.0,967.0,942.0,975.0,619.0,483.0,787.0,78.7
10,11,2018-11-01 06:05:34,2018-11-01 06:08:58,204,,10593.0,480.0,507.0,517.0,71480.0,75514.0,77060.0,22847.0,22893.0,22868.0,57.0,59.0,59.0,964.0,947.0,984.0,586.0,444.0,766.0,78.7
11,10,2018-11-01 06:08:59,2018-11-01 06:12:06,187,,11737.5,491.0,544.0,529.0,75623.5,83843.5,81578.0,22914.0,23044.0,22953.0,66.0,62.0,60.0,939.0,955.0,964.0,572.0,429.0,766.0,78.7
10,11,2018-11-01 06:12:07,2018-11-01 06:15:44,217,,10350.0,475.0,517.0,513.0,70698.0,76918.0,76463.0,22712.5,22766.0,22733.0,58.0,58.0,57.0,958.0,965.0,984.0,539.0,454.0,749.0,78.7
11,10,2018-11-01 06:15:45,2018-11-01 06:23:45,480,,11726.0,487.0,524.0,524.0,75101.0,80786.0,80745.0,22683.0,22725.0,22712.0,63.0,64.0,60.0,932.0,939.0,964.0,535.0,454.0,749.0,78.7
10,9,2018-11-01 06:23:46,2018-11-01 08:07:20,6214,,11808.0,492.0,505.0,511.0,73346.0,75244.0,76137.0,22580.0,22552.0,22652.0,58.0,59.0,59.0,933.0,913.0,947.0,249.0,229.0,491.0,77.6
9,8,2018-11-01 08:07:21,2018-11-01 08:10:49,208,,9608.5,509.0,511.5,502.0,73329.0,73639.5,72470.0,22408.0,22329.0,22341.0,54.0,46.0,53.0,989.0,970.0,976.0,341.0,269.0,446.0,77.1
8,9,2018-11-01 08:10:50,2018-11-01 08:13:27,157,,8292.0,479.0,491.0,491.0,66869.0,68510.0,68539.0,22644.0,22613.0,22685.0,49.0,46.0,50.0,995.0,987.0,994.0,381.0,357.0,496.0,77.1
9,10,2018-11-01 08:13:28,2018-11-01 08:13:45,17,,9494.0,494.0,507.0,511.0,71445.0,73386.0,73853.0,22579.0,22555.0,22628.0,52.0,50.0,53.0,983.0,971.0,986.0,415.0,391.0,530.0,77.1
10,9,2018-11-01 08:13:46,2018-11-01 08:14:27,41,,10363.5,526.0,540.5,546.0,78422.0,80684.0,81343.0,22607.0,22565.0,22631.0,55.0,53.0,56.0,979.0,966.0,984.0,448.0,418.0,561.0,77.1
9,10,2018-11-01 08:14:28,2018-11-01 08:17:17,169,,9266.5,496.0,510.0,516.0,71382.0,73418.5,74396.0,22651.0,22641.5,22610.0,52.0,50.0,53.0,987.0,976.0,992.0,452.0,426.0,577.0,77.1
10,11,2018-11-01 08:17:18,2018-11-01 09:04:53,2855,,9799.0,525.0,532.0,536.0,78233.0,79311.0,79879.0,22577.0,22549.0,22444.0,55.0,51.0,56.0,989.0,977.0,987.0,485.0,482.0,648.0,79.3
